epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,995.649,0.77222,0.44257,0.99792,0.97465,0.98321,0.97564,0.7893,0.79024,0.37347,1.02943,0.00015209,0.00015209,0.00015209
43,1019.25,0.78786,0.4523,1.00199,0.96961,0.98265,0.97922,0.79254,0.78221,0.35892,1.02509,0.000149555,0.000149555,0.000149555
44,858.972,0.77031,0.43294,0.99989,0.97314,0.98372,0.97637,0.7915,0.78318,0.36527,1.01977,0.000147021,0.000147021,0.000147021
45,882.263,0.77241,0.43336,0.99049,0.97358,0.98317,0.97497,0.7866,0.78882,0.36858,1.01762,0.000144486,0.000144486,0.000144486
46,1089.51,0.7704,0.41917,0.98996,0.97145,0.98303,0.98267,0.79755,0.7713,0.36097,1.01801,0.000141952,0.000141952,0.000141952
47,929.449,0.78086,0.42364,1.00173,0.96946,0.98351,0.98267,0.78704,0.79963,0.36942,1.03169,0.000139418,0.000139418,0.000139418
48,1136.68,0.76027,0.41532,0.99329,0.9696,0.98291,0.97838,0.78439,0.79828,0.37017,1.03073,0.000136883,0.000136883,0.000136883
49,976.275,0.76269,0.40767,0.99341,0.96454,0.98406,0.97497,0.78761,0.78868,0.37513,1.02727,0.000134349,0.000134349,0.000134349
50,1000.19,0.7705,0.41202,0.99924,0.9765,0.98355,0.97497,0.78339,0.78186,0.35163,1.02044,0.000131814,0.000131814,0.000131814
51,1207.36,0.76529,0.40929,0.9945,0.97152,0.98369,0.97497,0.78912,0.78896,0.36196,1.0245,0.00012928,0.00012928,0.00012928
52,1230.98,0.75658,0.40796,0.99045,0.97368,0.98081,0.97699,0.79238,0.76354,0.35883,1.02179,0.000126746,0.000126746,0.000126746
53,1070.7,0.75703,0.40461,0.98528,0.97769,0.98295,0.97839,0.79748,0.77092,0.35351,1.01347,0.000124211,0.000124211,0.000124211
54,1277.92,0.77125,0.40812,0.99792,0.97639,0.98277,0.97497,0.79429,0.77124,0.35272,1.0154,0.000121677,0.000121677,0.000121677
55,1301.6,0.75712,0.40392,0.98756,0.97681,0.983,0.98202,0.79547,0.77498,0.34945,1.01551,0.000119142,0.000119142,0.000119142
56,1325.15,0.75102,0.38926,0.98902,0.97306,0.98031,0.97922,0.79117,0.78724,0.36433,1.02044,0.000116608,0.000116608,0.000116608
57,1349.79,0.74582,0.39383,0.99128,0.97597,0.98289,0.9778,0.79056,0.78354,0.35903,1.03161,0.000114074,0.000114074,0.000114074
58,1373.97,0.75095,0.39073,0.9813,0.96822,0.97648,0.97497,0.7889,0.78403,0.35558,1.03023,0.000111539,0.000111539,0.000111539
59,1213.54,0.75476,0.38931,0.98524,0.97634,0.98276,0.97564,0.78813,0.80499,0.35862,1.03056,0.000109005,0.000109005,0.000109005
60,1420.64,0.73658,0.38647,0.98426,0.97723,0.98294,0.97497,0.77988,0.81665,0.37307,1.03033,0.00010647,0.00010647,0.00010647
61,1444.19,0.73522,0.38048,0.98033,0.97487,0.98358,0.97908,0.79085,0.79001,0.34765,1.02452,0.000103936,0.000103936,0.000103936
62,1467.6,0.74378,0.38097,0.98533,0.97501,0.98302,0.97633,0.78671,0.79953,0.35634,1.02745,0.000101402,0.000101402,0.000101402
63,1491.4,0.73482,0.37399,0.98451,0.9795,0.98317,0.97564,0.78902,0.78971,0.34182,1.01887,9.88672e-05,9.88672e-05,9.88672e-05
