                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81767,                0.50217,                 1.0294,                0.99371,                0.99694,                0.99272,                0.80173,                0.75889,                0.36142,                 1.0194,             0.00020024,             0.00020024,             0.00020024
                     36,                0.80525,                0.48592,                 1.0221,                 0.9914,                0.99749,                0.99221,                0.80705,                0.74745,                 0.3603,                 1.0102,             0.00019855,             0.00019855,             0.00019855
                     37,                0.80987,                0.48661,                 1.0264,                0.99303,                 0.9977,                0.99267,                0.80554,                0.75883,                0.34484,                  1.014,             0.00019686,             0.00019686,             0.00019686
                     38,                0.80753,                0.48031,                  1.019,                 0.9926,                 0.9977,                0.99309,                0.81125,                0.74303,                0.34208,                 1.0092,             0.00019517,             0.00019517,             0.00019517
                     39,                0.81197,                 0.4837,                 1.0236,                 0.9918,                0.99727,                0.99409,                0.81134,                0.74167,                0.33947,                 1.0061,             0.00019348,             0.00019348,             0.00019348
                     40,                0.80772,                 0.4804,                   1.02,                0.99331,                 0.9977,                0.99362,                0.81074,                0.73915,                0.33535,                 1.0056,              0.0001918,              0.0001918,              0.0001918
                     41,                0.80761,                0.46855,                 1.0252,                0.99002,                 0.9977,                0.99329,                0.81033,                0.74763,                0.33847,                 1.0089,             0.00019011,             0.00019011,             0.00019011
                     42,                0.79368,                0.46362,                 1.0246,                0.99088,                 0.9977,                0.99338,                0.81869,                0.73248,                0.33884,                 1.0032,             0.00018842,             0.00018842,             0.00018842
                     43,                 0.8067,                0.46879,                  1.021,                0.99415,                0.99761,                0.99382,                0.81865,                0.73373,                0.33265,                  1.005,             0.00018673,             0.00018673,             0.00018673
                     44,                0.80788,                0.46631,                 1.0269,                0.99388,                0.99765,                 0.9939,                0.81564,                0.73837,                0.33428,                 1.0035,             0.00018504,             0.00018504,             0.00018504
                     45,                0.78835,                0.44714,                 1.0108,                0.99145,                 0.9977,                0.99261,                 0.8146,                0.73245,                0.33524,                 1.0025,             0.00018335,             0.00018335,             0.00018335
                     46,                0.78499,                0.44699,                 1.0115,                0.99455,                 0.9977,                0.99381,                0.81515,                0.73161,                0.32153,                  1.003,             0.00018166,             0.00018166,             0.00018166
                     47,                 0.7975,                0.45304,                 1.0142,                 0.9932,                0.99779,                0.99254,                0.81302,                0.73784,                0.32463,                 1.0065,             0.00017997,             0.00017997,             0.00017997
                     48,                 0.7892,                0.43763,                 1.0067,                0.99395,                 0.9977,                0.99319,                0.81683,                0.73454,                0.31682,                 1.0027,             0.00017828,             0.00017828,             0.00017828
